name,image,price,category
5 כוסות פסים פס כסף,7290113927896.jpg,15,hadpaami
5 מטליות מיקרופייבר למשטחים SWIFT,7290018929001.jpg,8,hadpaami
5 קערות עגולות לסלט פלוורס,7290113923836.jpg,12,hadpaami
"50 יח' מקלות מגנום 9.4 ס""מ (ארוז 12)",7290618281844.jpg,7,hadpaami
"50 יח' מקלות מגנום קטן 7.5 ס""מ (ארוז 12)",7290618281837.jpg,6,hadpaami
50 כוסות נייר גודל 8oz,729011392358.jpg,8,hadpaami
"50 כוסות צבעוניות 200 מ""ל",7290113925144.jpg,7,hadpaami
50 כוסות שתיה חמה 8BOZ,077343002220.jpg,4,hadpaami
50 נרות חימום 8 שעות מנורה,7290004255602.jpg,22,birthday
6 סלטיות אובליות פלוורס,7290113923829.jpg,10,hadpaami
6oz1-‏29-  גביע כסף קידוש *10 יח' כ,7290115952186.jpg,10,hadpaami
7 שקיות בד לבישול,7290108359299.jpg,13,hadpaami
80 צמרוני עץ SHINY,7290014945036.jpg,2,hadpaami
99.9% תוסף לחיטוי כביסה,7290108352368.jpg,36,hadpaami
BG מסיר פיח K44  חסכן דלק,766041121769.jpg,85,baking
BG תכשיר לניקוי פיח קשיח מנועי דיזל,766041121783.jpg,85,cleaning
EUROPEAN שמרים יבשים ווקום 450גר',8680202110282.jpg,15,hadpaami
JAVEL 4 ליטר לבנדר,7290000294773.jpg,20,hadpaami
